occupation,직무내용
"웹기획,백엔드개발자,프론트엔드개발자,웹개발자,앱개발자,DBA","담당업무
ㆍJAVA 관련 개발
ㆍ모바일, 웹 개발
스킬
ㆍAPI, Git, JAVA, Jenkins, iBATIS, Spring, ABAP, Cloud

자격요건
ㆍ학력 : 초대졸이상 (졸업예정자 가능)
ㆍ경력 : 신입·경력5년↑

우대사항
ㆍ정보처리기사 , 정보처리산업기사 
ㆍSAP-ABAP의 경우 , 경력증명관련 서류 제출. 
SAP-ABAP
경력 ( ○○명 )
담당업무
ㆍSAP - ABAP 개발
ㆍSAP ERP 개발

스킬
ㆍAPI, ABAP, Cloud
"
"백엔드개발자,프론트엔드개발자,웹개발자","웹개발
( 1명 )
담당업무
ㆍVue.js + Node.js + Golang을 활용한 웹 애플리케이션 및 하이브리드 앱 개발
ㆍ대량 데이터를 효율적으로 관리할 수 있는 DB 설계 및 최적화
ㆍ실시간 데이터 통신 및 API 개발 (RESTful API, WebSocket, gRPC 등)
ㆍ데이터 처리 성능을 고려한 백엔드 아키텍처 설계 및 최적화
ㆍ클라우드 환경(AWS 등)에서의 서비스 운영 및 배포
ㆍCI/CD 파이프라인 구축 및 운영

스킬
ㆍRESTful API, AWS, MySQL, Python, RDBMS, 풀스택, Node.js, Vue.js, GoLang, Javascript

자격요건
ㆍ학력 : 학력무관
ㆍ경력 : 신입·경력
ㆍ정말로 개발을 좋아하고, 매일 새로운 기술·트렌드를 학습하려는 열정이 있으신 분
ㆍ유튜브나 기술 블로그, 온라인 강의 등 개발 관련 콘텐츠를 스스로 찾아보고, 인사이트를 얻고 성장하고 싶은 분
ㆍ문제 해결 능력과 논리적 사고를 갖추고, 협업에 적극적으로 참여하실 분

우대사항
ㆍGolang을 활용한 고성능 서버 개발 경험
ㆍ대규모 트래픽을 처리할 수 있는 백엔드 시스템 설계 및 구현 경험
ㆍAI/ML 관련 프로젝트 경험
ㆍ분산 시스템 및 마이크로서비스 아키텍처(MSA) 경험"
"백엔드개발자,프론트엔드개발자,웹개발자","담당업무
ㆍJAVA 웹개발

스킬
ㆍJAVA, Spring Boot, React, MySQL, JPA, Vue.js

핵심역량
ㆍ 성실성, 적응성, 협동심, 성장지향성

자격요건
ㆍ학력 : 대졸이상
ㆍ경력 : 신입

우대사항
ㆍ컴퓨터활용능력 우수자
ㆍ정보처리기사"
"백엔드개발자,웹개발자,소프트웨어개발자"," JAVA, JSP 등을 활용한 공공기관 시스템 웹개발
- 스킬 : JAVA, JSP, MySQL, Oracle, SQL

                                                                                                                                                                                                                                                                ■ 자격요건
- 학력 : 대졸이상 (졸업예정자 가능)
- 경력 : 신입


                                                                                                                                                                                                                                                                ■ 우대사항
- 해당직무 근무경험
- 컴퓨터/시스템 공학, 공학계열 등 관련 학과 전공자
- 관련 자격증 보유자(정보처리기사)
- 거주지 외 지역 근무 가능자"
"웹개발자,앱개발자,블록체인개발자","( 1명 )
담당업무
쇼핑몰, 결제(Pay), SNS, 키오스크 서비스 개발 및 운영을 담당하며, 자유로운 환경에서 최고의 사용자 경험을 만들어 나갑니다.
- 쇼핑몰 서비스 개발  상품 관리, 주문·결제 시스템, 사용자 경험 최적화
- 결제 시스템(Pay) 개발  안전하고 편리한 결제 솔루션 설계 및 구현
- SNS 플랫폼 개발  사용자 소통 기능, 콘텐츠 추천 알고리즘 개선
- RESTful API 및 백엔드 개발 ? 대용량 트래픽을 처리할 효율적인 서버 아키텍처 구축
- 프론트엔드 개발 
- 데이터 최적화 및 성능 개선  MySQL, Redis 등 DB 튜닝 및 쿼리 최적화
- 클라우드 및 DevOps 환경 운영
- 새로운 기술 도입 및 연구  최신 트렌드를 반영한 기술 스택 개선


스킬
- 프로그래밍 언어: Java, JavaScript, TypeScript, Node.js, PHP, Dart 중 하나 이상
- 백엔드 개발: Spring Boot, Express, FastAPI, PHP 등
- 프론트엔드 개발: React, Bootsrap, Flutter 등
- 데이터베이스: MySQL, PostgreSQL, MongoDB 등 관계형·NoSQL DB 활용 경험
- API 개발 및 연동: RESTful API, OAuth, WebSocket
- 클라우드 및 서버 운영: AWS, GCP, Docker, Kubernetes 등
- 결제(Pay) 시스템 이해: PG사 연동, 결제 API 구현 경험 (우대)
- 버전 관리 및 협업: GitHub


우대사항
- 빠르게 성장하는 스타트업 환경에서 일한 경험이 있는 분
- 팀원과 적극적으로 지식 공유 및 코드 리뷰를 하는 걸 좋아하는 분
- 유저 중심의 개발 사고를 가지신 분 (UX/UI 개선에 관심 많으신 분)"
백엔드개발자,"
모집부문
·  신입 Java 웹 서비스 개발자
담당업무 · Java 웹 서비스 개발

지원자격
· Java 웹 서비스 개발 프로젝트 경험 또는 교육 이수 
(Spring Framework / Boot, JSP or Thymeleaf 등)
·  웹 서비스를 위한 환경 구축 지식 보유 (WEB/WAS 등)
·  데이터베이스 관련 지식 보유 (SQL Query, MaBatis, MySQL 등)
·  UI/UX 기능 구현을 위한 지식 보유 (HTML, Javascript 등)
·  소스 형상 관리 (GIT) 경험
우대사항
· 컴퓨터공학 관련 전공자
· 정보처리기사 자격증 보유하신 분
· AWS 경험자 또는 자격증 보유하신 분
· 신기술 습득을 위한 노력과 도전에 열정이 있으신 분
· 협업 간에 커뮤니케이션에 어려움이 없으신 분
"
"백엔드개발자,프론트엔드개발자,웹개발자,앱개발자,시스템엔지니어,네트워크엔지니어,소프트웨어개발자,설비엔지니어","[자격요건]
학력 : 초대졸 이상
경력 : 신입~6년 이하(사원~대리급)
Java, Jsp개발 가능자
JavaScript, Ajax 개발 가능자
Spring Framework 개발 가능자
Oracle, MS-SQL 환경 개발 및 쿼리작성 가능자
0명
머니트리 솔루션
[담당업무]
머니트리 APP API 서버 개발
머니트리 관리자 웹서비스 및 배치처리 개발
외부연동 API 서버 개발
머니트리 시스템 운영 및 유지보수
[자격요건]
학력 : 초대졸 이상
경력 : 신입~10년 이상(사원~과장급)
JAVA, Servlet, JSP 개발 가능자
Spring Framework, SpringBoot 개발 가능자
Javascript, ajax 개발 가능자
ORACLE/MSSQL DBMS 환경 개발 가능자
[우대사항]
컴퓨터공학 전공자 및 관련학과 전공자
결제, 정산/대사 관련 업무 경험자"
웹개발자,"
웹개발
화면개발 (UI)
스프링, 자바
오라클, 리엑트, 오즈리포트
소프트웨어 개발 및 유지보수
프론트 및 백단
우대사항
정보처리기사 보유자
관련학과 전공자
고용형태
정규직 / 프리랜서
(초상급 미만 수습기간 있을 수 있음)
각각 경력자의 경우 스킬인벤토리
제출필수 요망

신입 JAVA / JSP SI /
SM개발자
우대사항 (아래에 해당되지않아도됨)
관련 학과 전공자/국비학원수료자
SI 소프트웨어 개발 경험 또는 동종업계 경험자
정보처리기사 보유자
고용형태
수습기간 3개월이후  정규직전환"
웹개발자,"
모집부문 및 상세요강
[ 주요업무 ]
ㆍ웹 어플리케이션 개발 및 유지보수

[ 개발환경 ]
ㆍ프론트엔드: Jquery, Kendo UI Component 기반의 MVVM 패턴 개발. Ajax사용
ㆍ백엔드: Microsoft ASP.NET MVC 5
ㆍ데이터베이스: Microsoft SQL Server
ㆍ버: Mic서rosoft Azure 기반의 Windows Server Platform
ㆍ형상관리: GitHub
ㆍ협업 관리 툴: Axosoft + SmartSheet + Google Workspace
ㆍ개발 문화: 사내 코딩 가이드 룰에 따른 코딩 패턴 준수하고 100% 코드 리뷰 진행

[ 업무환경] 
ㆍ고객 응대, 외근, 지방 출장 없음.
ㆍ직급에 상관없이 상호 간 존댓말 사용
ㆍ사내 테라스 구비
ㆍ휴게실(세라젬, 바디프랜드) 구비 
ㆍ커피, 간식 구비 
ㆍ야근 없음.
ㆍ업무 후 회식 대신 한 달에 한 번씩 오후 2시부터 리프레시데이 진행

[ 자격요건 ]  
ㆍ초대졸이상 혹은 졸업예정자
ㆍ해외여행(출장)에 결격사유가 없으신 분
ㆍ관련 학과 졸업 혹은 관련 교육 과정 6개월 이상 이수자
ㆍ프로그램 개발에 관심이 많으신 분
ㆍjQuery 또는 React와 같은 javascript 기반의 라이브러리를 사용해서 UI와 데이터 처리를 경험해 보신 분
ㆍ우대 사항
    - ASP.NET MVC를 사용해 보신 분 "
"웹개발자,보안엔지니어,게임개발자","PHP / nodejs 등
웹개발자
산업기능요원
 (보충역)
- 자사 사이트 유지관리
- 신규 프로젝트 개발 [산업기능요원 자격요건]
1. 2년 이상 SW분야의 근무 경력
2. 정보처리 분야 관련 학과 2년 이상 수료
3. 정보처리 기능사 이상 자격증 보유 시 전공학과 또는 근무경력 1년 이상
- 위 3가지 중 1가지만 충족되면 지원 가능

[직무]
1. 리눅스 기반의 PHP / MYSQL 활용 실무 경력
2. 웹개발 및 운영 
0"
"DBA,소프트웨어개발자,AI/ML엔지니어,클라우드엔지니어","담당업무
ㆍ프로그램 개발 및 테스트 
ㆍ진단 및 감사 대응 및 조치 
ㆍ데이터 관리(검증, 추출, 수정, 삭제 등)
ㆍ장애 예방활동 및 대응 (DR 모의훈련 등)
ㆍ고객 문의 대응 및 요구사항 분석/협의

자격요건
ㆍJava, JSP, JavaScript, Nexacro 개발 및 운영 경험
ㆍOracle SQL 및 PL/SQL 개발 및 운영 경험
ㆍFront-end, Back-end 개발 경험
ㆍ소프트웨어 분석 및 개발 방법론 지식
ㆍ요구사항 분석기법 이해
ㆍ시스템 분석 및 설계 능력
ㆍ기술문서 작성 능력
ㆍ장애 관리 역량

우대사항
ㆍWeb시스템 운영 및 개발 경험
ㆍJava, Oracle 관련 자격증 소지자(OCJP, OCP 등)
ㆍNexacro 사용 경험
ㆍ발주/검품 관리 관련 개발 및 운영 경험
※ 국가보훈대상자 및 장애인은 관련법규에 의거 우대합니다
"
"프론트엔드개발자,웹개발자","Front-End 개발자
( ○명 )

■ 주요업무
ㆍPLUG PLATFORM Front-End 개발 및 유지보수
ㆍ웹 기능 관련 R&D, 코드 리뷰, 기술 개발 등

■ 지원자격
ㆍReact.js 프레임워크 사용 경험이 있으신 분
ㆍHTML5, CSS3, JAVASCRIPT, Typescript에 대한 깊은 이해가 있으신 분
ㆍ새로운 프론트엔드 기술에 관심이 많은 분
ㆍGit 등의 분산 버전 관리 시스템 사용에 능숙하신 분

■ 자격요건
ㆍ학력 : 학력무관
ㆍ경력 : Front-End 개발 경력 2년 이상 또는 이에 준하는 수준의 역량 보유자

■ 우대사항
ㆍ백엔드 개발의 경험이 있으신 분
ㆍ디자인 시스템에 대한 이해가 있으신 분
ㆍWebGL 개발 경험이 있으신 분
ㆍ테스트 코드 및 배포 자동화(CI/CD) 작성 경험이 있으신 분"
웹개발자,"Java/Web개발
( ○○명 )
담당업무
ㆍJava 기반 시스템 개발 
ㆍ웹 어플리케이션(프론트엔드/백엔드) 개발
ㆍ RDBMS(Oracle Maria DB) / JAVA / JSP / SQL / JQur
ㆍ자사 솔루션 운영 및 유지보수
ㆍ유지보수 업무 중 기능 개선 보완 개발

스킬
ㆍAjax, API, JAVA, JPA, JSP, MySQL, OracleDB, React, Spring Boot, SQL

핵심역량
ㆍ 성실성, 꼼꼼함, 성취지향성

자격요건
ㆍ학력 : 초대졸이상 (졸업예정자 가능)
ㆍ경력 : 신입·경력

우대사항
ㆍ관련 자격증 보유자
ㆍ유관업무 경력자
ㆍ자격증 : 정보처리기사
ㆍ전공 : 정보통신공학과, 컴퓨터공학과, 통계학과"
프론트엔드개발자,"주요 업무
집품 서비스의 전반적인 프론트엔드 개발 업무를 담당합니다.
      (Web 서비스 개발, App 내 webview 기능 개발)
빠른 서비스 제공을 위해 성능 최적화를 진행합니다.
높은 생산성을 위한 리팩터링을 진행합니다.
백오피스 시스템을 개발하고 고도화합니다.


자격 요건
React, TypeScript, Next.js 기반의 웹 애플리케이션 개발 경험이 있으신 분
Redux, Recoil, React-Query, SWR 등의 상태 관리 패턴 사용 경험이 있으신 분
HTML/CSS 마크업, 시맨틱 태그를 고려하여 개발하시는 분
모바일 환경 또는 반응형 웹 개발 경험이 있으신 분
대학 졸업자 이상 (2025년 08월 졸업 예정자 포함)


기술 스택
Typescript 
Next.js
Recoil, SWR
TailwindCSS, eslint


우대 사항
사용자를 위한 서비스를 배포, 운영해 본 경험이 있으신 분
서버 사이드 렌더링 (SSR, Next.js) 개발 경험이 있으신 분
웹 표준과 웹 접근성을 준수하는 UI 개발에 관심이 있으신 분
브라우저, 기기에 따라 나타나는 다양한 이슈 해결 경험이 있으신 분
모바일 앱 내에서 작동하는 WebView(In-App) 경험이 있으신 분"
프론트엔드개발자,"프론트엔드 프로그래머
( 1명 )
담당업무
ㆍ프론트엔드 개발

스킬
ㆍHTML5, CSS3, Javascript, TypeScript, React, Tailwind CSS, TanStack Query, Git, Zustand

자격요건
ㆍ학력 : 대졸이상 (졸업예정자 가능)
ㆍ경력 : 신입·경력2년↑

우대사항
ㆍ인근거주자
ㆍ즉시출근 가능자"
"프론트엔드개발자,웹퍼블리셔","웹퍼블리셔
( 1명 )
담당업무
ㆍ웹퍼블리셔
ㆍ해외 개발팀(프론트 개발팀) 관리

스킬
ㆍReact, HTML, CSS, Vue.js

자격요건
ㆍ학력 : 학력무관
ㆍ경력 : 신입·경력1년↑

우대사항
ㆍ외국어 : TOEIC"
"프론트엔드개발자,웹개발자,시스템엔지니어","프론트엔드 개발자경력 채용
업무내용
- 각종 서비스 및 백오피스 프론트엔드 구현
- 웹, 모바일웹 등 사용자 경험을 고려한 인터페이스 구현
- 적합한 기술 스택을 사용한 서비스 최적화
- 최신 프론트엔드 기술을 활용한 효율적인 개발 환경 구축
- 동료 개발자와 함께 서로 발전해 나갈 수 있는 리딩 및 멘토링
자격요건
- 5년 이상의 React, Next.js 개발 경험이 있으신 분 혹은 그에 준하는 역량을 갖추신 분
- HTML, CSS, JavaScript, TypeScript 에 대한 이해와 개발 경험이 있으신 분
- 프론트엔드 시스템 프로파일링 및 성능 개선 경험이 있으신 분
- 효율적이고 안정적인 배포/운영 전략 구성이 가능하신 분
- 다양한 직군의 동료들과 원활한 커뮤니케이션으로 협업을 즐기시는 분"
프론트엔드개발자,"( ○명 )
담당업무
ㆍNext.js, React를 사용한 자사 서비스들의 웹 프론트엔드 개발
ㆍKotlin을 사용한 안드로이드 웹앱 개발

스킬
ㆍJavascript, TypeScript, Next.js, React

필수자격요건
ㆍ학력 : 대졸이상
ㆍ경력 : 신입
ㆍ컴퓨터공학 4년제 학사 학위, 또는 그에 해당하는 CS적 지식을 갖고 있으신 분
ㆍJavascript에 대한 깊은 이해가 있으신분
ㆍTypescript와 Next.js 또는 React 사용 경험이 있으신분
ㆍ새로운 기술에 두려움이 없으신 분

필수 언어 및 갭발 경험
ㆍJavascript
ㆍTypescript (Kotlin 일부 사용)
ㆍ프레임워크 & 라이브러리: Next.js(React), Android,
ㆍ서비스 환경: AWS (EC2, S3, Lambda …), Azure (Function App)
ㆍ협업 환경: Github, Flow, Google Tools, Figma, Jenkins, Notion


우대사항
ㆍ반응형 및 크로스 브라우징에 대한 이해가 있으신 분
ㆍ모바일 웹뷰 환경에서의 프론트엔드 개발 경험이 있으신분
ㆍ프론트엔드 성능 최적화에 대한 경험이 있으신 분
ㆍGit 등의 분산 버전 관리시스템을 사용하여 동료들과 프로젝트를 진행해본 경험이 있으신분
ㆍ좋은 UI/UX를 만드는것에 대한 관심이 깊으신 분
ㆍCI /CD 경험
ㆍKotlin/Android
ㆍC# / .Net
ㆍPython 
"
"프론트엔드개발자,웹개발자","담당업무
ㆍjsp/servlet 기반 온라인 수학 교육 웹서비스 개발 및 유지보수
ㆍ차세대 교육 웹서비스 Next.js 기반 프론트엔드 개발 참여

스킬
ㆍJAVA, JSP, Javascript, CSS3, Bootstrap, Next.js, Docker

자격요건
ㆍ학력 : 학력무관
ㆍ경력 : 신입·경력

우대사항
ㆍ관련 학과 전공자"
"프론트엔드개발자,웹개발자,소프트웨어개발자","프론트앤드 개발 전문가 채용
( 1명 )
담당업무
ㆍ엘핀 상용 서비스 기능 고도화 및 개선(위치인증, 복합인증)
ㆍB2C, B2B 서비스 프론트앤드 개발 및 기획, 디자인 등 협업
ㆍ신규 서비스 개발 및 런칭, 운영 

스킬
ㆍHTML5, Javascript, ReactJS, TypeScript, Next.js

핵심역량
ㆍ 성실성, 꼼꼼함, 적응성, 협동심, 성장지향성

자격요건
ㆍ학력 : 초대졸이상 (졸업예정자 가능)
ㆍ경력 : 신입·경력2년↑

우대사항
ㆍ공모전 입상자
ㆍ유관업무 경험자(인턴·알바)
ㆍ관련 학과 전공자
ㆍ관련 자격증 보유자
ㆍ유관업무 경력자 (2년)
ㆍ전공 : 정보통신공학과, 컴퓨터공학과, 응용소프트웨어공학과"
"웹기획,프론트엔드개발자,웹퍼블리셔","웹 퍼블리셔 및 프론트엔드 개발자 모집
( ○명 )
*담당업무
- 자사 솔루션 및 홈페이지 프론트엔드 개발 및 유지보수
- 서비스에 필요한 UI/UX 화면 개발
 
*지원자격
- 신입 : 수습기간 3개월 적용 
- 경력 : 무관 (신입도 지원 가능)
- 솔루션 및 Web & App UI/UX 디자인 업무 경험이 있으신 분
- 포토샵, 일러스트, 피그마, 어도비 XD 등 시각화 툴 사용이 능숙하신 분
- HTML(5), CSS, javascript, JQuery, bootstrap에 대해 경험이 있으신 분
- React 등 주요 프론트엔드 프레임워크에 대해 경험이 있으신 분
  *우대사항
- 상용서비스 출시 경험이 있으신 분
- 보안 솔루션에 대한 이해와 경험이 있는 분
- UI/UX 디자인 경험이 있으신 분

*제출서류
- 최소 1개 이상의 포트폴리오 (전반적인 UI/UX 과정 포함) "
"백엔드개발자,웹개발자,앱개발자","마크클라우드
솔루션 프론트 개발자 채용
포지션 및 자격요건
공통 자격요건
ㆍ컴퓨터를 좋아하시는 분
ㆍ신 기술 사용에 거부감이 없으신 분
ㆍ문제해결에 새로운 방법론과 새로운 Insight를 찾는것을 좋아 하시는 분
ㆍ자기주도적 업무처리와 팀원들과 원활히 협업하는 능력을 가지신 분
ㆍ수평적인 스타트업 업무환경에서 함께 성장해 나가고 싶으신 분
ㆍ주어진 일에 대해 책임감이 강하고 꼼꼼하신 분
ㆍ명확한 의사소통 및 문서화 기술이 있으신 분
ㆍ여러 프로젝트를 일정 관리하며 멀티태스킹 하는 것에 부담 없으신 분
 
솔루션 프론트엔드 개발(신입/경력, ○명 )
담당업무
ㆍ자사 신규 서비스를 바탕으로 하는 정부 R&D 기획보조 및 개발
ㆍR&D 사업 기술 리서치
ㆍR&D 솔루션 프론트엔드 개발
ㆍ(가능시) 솔루션 하이브리드 애플리케이션 개발 

자격요건
ㆍ경력 : 무관 (신입도 지원 가능)
ㆍReact, 혹은 Next.js 사용을 하여 프론트엔드 개발 경험이 있으신 분
ㆍjavascript 개발환경 (ES6+, Node.js, Webpack, Babel 등) 에 대한 이해가 있으신 분
ㆍ형상관리 시스템 (Git) 활용 가능하신 분 

우대사항
ㆍReact Native, Flutter 등으로 하이브리드 애플리케이션 개발이 가능하신 분
ㆍ풀스택 개발이 가능하신 분
ㆍIT 관련 신기술 및 AI 기술에 기민하신 분
ㆍ스타트업에서 근무 경험 있으신 분 "
"프론트엔드개발자,앱개발자","프론트엔드 개발자
( ○명 )
업무내용
자체 개발한 운영 플랫폼 서비스에 대한 시스템을 개발 합니다.
ㆍ운영 효율, 사용성 향상을 위하여 플랫폼 서비스를 개발합니다.
ㆍ신규 서비스를 제공하기 위한 플랫폼 개발합니다.

개발환경
ㆍHTML, CSS, JavaScript, Git & GitHub, jsp, php

핵심역량
ㆍ 성실성, 협동심, 성장지향성 , 계획성 , 꼼꼼함 , 창의성 , 성취지향성 

자격요건
ㆍ스킬에 대한 이해도가 높으며 팀의 목표에 기여하는 성과를 창출하고 성장을 도모할 수 있는 역량을 보유
ㆍ학력 : 학력무관
ㆍ경력 : 신입·경력

우대사항
ㆍ동료들과의 원활한 커뮤니케이션 역량 보유  
ㆍ관련 자격증 보유자
ㆍ전공 : 컴퓨터공학계열
안드로이드 개발 
( ○명 )
업무내용
운영중인 앱 사용자에게 새롭고 특별한 경험을 만들고 있습니다.
ㆍ앱 운영 관리
ㆍ신규 플랫폼 서비스 개발

개발환경
ㆍAndoroid kotlin, xml layout, github, java, mvvm/aac, jetpack compos

핵심역량
ㆍ성실성, 협동심, 성장지향성 , 계획성 , 꼼꼼함 , 창의성 , 성취지향성 

자격요건
ㆍandroid kotlin, xml layout을 이용한 앱 제작 경험
ㆍgithub을 이용한 형상관리
ㆍ학력 : 학력무관
ㆍ경력 : 신입·경력"
"프론트엔드개발자,웹개발자,소프트웨어개발자","ava Web 개발자
( 2명 )
담당업무
ㆍJava Web 개발 및 유지보수
ㆍ응용 소프트웨어 개발

자격요건 
ㆍ학력 : 대졸이상
ㆍ경력 : 신입·경력3년↑
ㆍJava Web: Spring, Oracle 사용 경험

우대사항
ㆍVue.js, React 사용 경험
ㆍ유관업무 경력자 (5년)"
"프론트엔드개발자,웹퍼블리셔","웹 퍼블리셔 신입/경력 채용
포지션 및 자격요건
퍼블리셔
( 0명 )
담당업무
ㆍ웹퍼블리싱
ㆍcafe24, 고도몰 솔루션

자격요건
ㆍ신입
전형절차
ㆍ서류전형 > 면접 >  최종합격
ㆍ면접일정은 추후 통보됩니다.

유의사항
ㆍ허위사실이 발견될 경우 채용이 취소될 수 있습니다."
"프론트엔드개발자,웹개발자,소프트웨어개발자","( 1명 )
담당업무
ㆍWebSquare 기술지원 / 유지보수 
    - 당사 UI 프레임웍인 WebSquare 제품의 기술을 습득하여 제품 사용자 대상 기술지원 (대면/비대면)
    - 웹스퀘어 사용 사이트 기술지원
    - 콜센터(서비스데스크) 대응

자격요건
ㆍ학력 : 초대졸이상
ㆍ경력 : 신입 및 경력1년↑

우대사항
ㆍJavaScript 개발 경험자

기타
ㆍ연봉(4년제 대졸 신입 초봉 3,300 ~) 외 기술지원수당 추가지급"
"프론트엔드개발자,웹퍼블리셔","WEB UI 개발 (프론트개발)
포지션 및 자격요건
WEB UI 개발자
( ○명 )
WEB UI 개발자
ㆍ웹 기반 UI 코딩 (html, css, js 등)
ㆍajax, jquery 를 활용한 일부 데이터 연동 코딩
ㆍHTML5 를 이용한 다이나믹 모션 작업

스킬
ㆍAjax, Bootstrap, CSS

우대사항
ㆍ전산 관련 산업기사 / 기사 자격증 소지자 
ㆍ관련 전공자
ㆍ디자인 / 서버 / 데이터 처리 경험 보유자 "
웹개발자,"담당업무
ㆍ교육 및 공공기관정보 플랫폼(LMS포함) 개발
ㆍ민간 서비스 플랫폼 개발

자격요건
ㆍ학력 : 초대졸이상
ㆍ경력 : 신입·경력3년↑(경력의 경우 희망연봉 반드시 기입)
ㆍ웹(ASP or JAVA or JSP) 풀스펙
ㆍ프론트앤드 / 백앤드 개발 경험 보유
ㆍRESTful 설계 및 통합에 대한 이해도가 높은 분
ㆍ코드 리뷰에 긍정적이고, 자기 주도적 소양을 가진분
ㆍSI가능자

우대사항
ㆍ클라우드 환경 개발 경험 보유자
ㆍ정부 R&D 수행 경험 및 시스템 용역 구축 경험
ㆍ전자정부프레임워크에 대한 이해가 높으신분
ㆍ자차보유자(운전가능자)"
프론트엔드개발자,"React Native 앱 개발자
( 1명 )
담당업무
ㆍReact-Native를 활용하여 모바일 애플리케이션을 개발하고 유지 보수합니다
ㆍ앱 내부 웹앱 페이지에 들어갈 웹페이지 개발 및 유지보수를 합니다.

스킬
ㆍReact Native, TypeScript, Javascript, React

자격요건
ㆍReact-Native 앱 배포 및 운영 경험이 있으신 분
ㆍTypescript 및 Javascript에 대한 이해도가 높으신 분
ㆍ열린 마음과 긍정적인 태도로 팀원들과 협업이 가능하신 분

우대사항
ㆍ문서화, 자동화를 통해 팀의 생산성을 향상시킬 수 있는 분
ㆍ서비스의 기획부터 출시, 운영까지 직접 경험하신 분
ㆍUI/UX 가이드라인에 대한 이해도가 높으신 분
ㆍReact, Next.js 등 Web 프론트 경험이 있으신 분
ㆍ효율적인 업무 프로세스를 위해 노력하시는 분"
"백엔드개발자,프론트엔드개발자","
요구스킬
ㆍJAVA, Python, React, Vue.js, x-javascript

자격요건
ㆍ학력 : 대졸이상 (컴퓨터공학 관련 전공 및 유사학과)
ㆍ경력 : 신입·경력1년↑ (프로그래밍 언어에 대한 숙련도 필요)

우대사항
ㆍ풀스택 개발자로서 프로젝트 경험 우대
ㆍ백엔드 JAVA, Python 프로젝트 경험 우대
ㆍ프론트엔드 x-javascript 프로젝트 경험 우대
ㆍ프론트엔드 React 또는 Vue.js 개발 경험 우대"
"앱개발자,시스템엔지니어,소프트웨어개발자","[담당업무]
ㆍ Back-end 개발
ㆍAICC 플랫폼 구축/운영 개발
ㆍ빅테이터 기반 머신러닝 개발

[자격요건]
ㆍSpring Boot기반의 Java Application 전문 개발
ㆍ기본적인 JAVA/HTML 에 대한 이해
ㆍSpring data JPA에 대한 이해가 있는 분
ㆍRDBMS에 대한 이해가 높은 분

[우대사항]
ㆍ전산학, 컴퓨터공학 등 관련학과 전공자
ㆍ정보처리기사 등 관련자격증 보유자
ㆍAI 프로젝트 경험자
ㆍAWS 구성 경험자"
"프론트엔드개발자,웹개발자,소프트웨어개발자","
JAVA 프로그래머
( 1명 )
담당업무
ㆍ스마트오피스 솔루션 연구 및 개발
ㆍ정보통신 시스템 개발 및 유지보수 (SI/SM)

스킬
ㆍGit, JAVA, sping boot, Spring Framework, Javascript, Linux, Vue.js, CSS

핵심역량
ㆍ 성취지향성, 성장지향성, 창의성, 협동심, 성실성, 적응성, 윤리의식, 꼼꼼함, 계획성, 스트레스관리

자격요건
ㆍ학력 : 초대졸이상 (졸업예정자 가능)
ㆍ경력 : 신입
ㆍ java / java script 웹 어플리케이션 개발
ㆍ spring framewotk, spring boot 개발
ㆍ Git을 이용한 형상관리 

우대사항
ㆍ리눅스 환경 적응력
ㆍjava / java script 등 1가지 이상의 언어 이해
ㆍVne.js 이해
ㆍ관련 자격증 보유자
ㆍ유관업무 경험자(인턴·알바)
ㆍ자격증 : 정보처리기사, 정보처리산업기사, 정보처리기능사

이런분과 일하고 싶어요
ㆍ커뮤니케이션 능동자
ㆍ신기술의 이해와 적응이 빠른 인재"
"프론트엔드개발자,웹퍼블리셔","모집분야 모집인원 경력사항 담당업무 및 자격요건
웹퍼블리셔 1명 경력
[담당업무]
- 웹퍼블리싱 업무
- 사이트 및 신규 서비스 개발

[지원자격]
- 학력 : 초대졸(2~3년제) 이상
- 경력 1년~5년 (신입가능)
- 웹포준/웹접근성 준수 마크업 가능자
-  javascript 및 라이브러리 사용 가능자
- 형상관리(git) 환경 협업개발 경험자

[우대사항]
-  모바일/반응형 프로젝트 경험자
- SEO에 대한 이해 및 경험자
- 디자인 및 개발업무 경험자
- SASS활용 가능자
-  reactJS / nextJS 경험 보유 및 관심이 많은자"
